Article title,anode,HIL,lumo_HIL,homo_HIL,thickness_HIL,HTL1,lumo_HTL1,homo_HTL1,thickness_HTL1,HTL2,lumo_HTL2,homo_HTL2,thickness_HTL2,HTL3,lumo_HTL3,homo_HTL3,thickness_HTL3,total_HTL_thickness,triplet_HTL,EML,lumo_EML,homo_EML,triplet_HOST,thickness_EML,dopant1,lumo_dopant,homo_dopant,triplet_dopant,dopant_percentage,triplet_ETL,total_ETL_thickness,ETL1,lumo_ETL1,homo_ETL1,thickness_ETL1,ETL2,lumo_ETL2,homo_ETL2,thickness_ETL2,cathode_1,cathode_workfunction,thickness_cathode1,cathode_2,thickness_cathode2,"Turn on Voltage, V at 1 cdm-2","Power efficiency, Lm/W at 1000 cdm-2","Quantum efficiency, %",cd/A
"A bipolar macrospirocyclic oligomer based on triphenylamine and 4,5-diazafluorene as a solution-processable host for blue phosphorescent organic light-emitting diodes",ITO,PEDOT:PSS,3.3,5.2,25,,,,,,,,,,,,,0,0,(TPA-DAF)3,1.83,5.27,2.88,35,FIrpic,3,5.7,2.7,11,2.6,35,,,,,TPBi,2.8,6.2,35,Ca,2.8,10,Ag,100,5.1,1,2,5.00
"A bipolar macrospirocyclic oligomer based on triphenylamine and 4,5-diazafluorene as a solution-processable host for blue phosphorescent organic light-emitting diodes",ITO,PEDOT:PSS,3.3,5.2,25,,,,,,,,,,,,,0,0,TAPC,2,5.5,2.87,35,FIrpic,3,5.7,2.7,15,2.6,35,,,,,TPBi,2.8,6.2,35,Ca,2.8,10,Ag,100,3.6,0.78,2,4.00
"A bipolar macrospirocyclic oligomer based on triphenylamine and 4,5-diazafluorene as a solution-processable host for blue phosphorescent organic light-emitting diodes",ITO,PEDOT:PSS,3.3,5.2,25,,,,,,,,,,,,,0,0,(TPA-DAF)3,1.83,5.27,2.88,35,FIrpic,3,5.7,2.7,15,2.6,35,,,,,TPBi,2.8,6.2,35,Ca,2.8,10,Ag,100,5.1,4.68,4,9.00
"A bipolar macrospirocyclic oligomer based on triphenylamine and 4,5-diazafluorene as a solution-processable host for blue phosphorescent organic light-emitting diodes",ITO,PEDOT:PSS,3.3,5.2,25,,,,,,,,,,,,,0,0,(TPA-DAF)3:TAPC (3:7),1.83,5.5,2.88,35,FIrpic,3,5.7,2.7,15,2.6,35,,,,,TPBi,2.8,6.2,35,Ca,2.8,10,Ag,100,3,7.02,8,12.00
"A bipolar macrospirocyclic oligomer based on triphenylamine and 4,5-diazafluorene as a solution-processable host for blue phosphorescent organic light-emitting diodes",ITO,PEDOT:PSS,3.3,5.2,25,,,,,,,,,,,,,0,0,(TPA-DAF)3,1.83,5.27,2.88,35,FIrpic,3,5.7,2.7,20,2.6,35,,,,,TPBi,2.8,6.2,35,Ca,2.8,10,Ag,100,5,3,3,8.00
A facile way to synthesize high-triplet-energy hosts for blue phosphorescent organic light-emitting diodes with high glass transition temperature and low driving voltage,ITO,HAT-CN,5.7,9.5,10,TAPC,2,5.5,45,,,,,,,,,45,2.87,SAFDCZ,1.74,5.13,2.84,20,FIrpic,3,5.7,2.7,15,2.75,40,,,,,TmPyPB,2.73,6.68,40,Liq,2.8,2,Al,120,3.9,12.1,10.1,20.90
A facile way to synthesize high-triplet-energy hosts for blue phosphorescent organic light-emitting diodes with high glass transition temperature and low driving voltage,ITO,HAT-CN,5.7,9.5,10,TAPC,2,5.5,45,,,,,,,,,45,2.87,SAFNDCZ,1.79,5.1,2.86,20,FIrpic,3,5.7,2.7,15,2.75,40,,,,,TmPyPB,2.73,6.68,40,Liq,2.8,2,Al,120,3,25.8,14.6,33.20
"A high triplet energy, high thermal stability oxadiazole derivative as the electron transporter for highly efficient red, green and blue phosphorescent OLEDs",ITO,,,,,NPB,2.5,5.2,30,mCP,2.4,5.9,20,,,,,50,3,BCPO,2.19,5.76,3.01,30,FIrpic,3,5.7,2.7,8,2.76,40,,,,,TPOTP,2.26,5.85,40,LiF,3.5,1,Al,100,3.2,18.64,20,32.25
"A New Phosphine Oxide Host based on ortho-Disubstituted Dibenzofuran for Efficient Electrophosphorescence: Towards High Triplet State Excited Levels and Excellent Thermal, Morphological and Efficiency Stability",ITO,MoO3,6.7,9.7,2,m-MTDATA:MoOx,1.9,9.7,30,m-MTDATA,1.9,5.1,10,Ir(ppz)3,1.6,4.9,10,50,3.14,o-DBFDPO,2.9,6,3.14,10,FIrpic,3,5.7,2.7,10,2.5,40,,,,,Bphen,3,6.4,40,LiF,3.5,1,Al,100,3.2,3.74,3.8,7.37
"A New Phosphine Oxide Host based on ortho-Disubstituted Dibenzofuran for Efficient Electrophosphorescence: Towards High Triplet State Excited Levels and Excellent Thermal, Morphological and Efficiency Stability",ITO,MoO3,6.7,9.7,2,m-MTDATA:MoOx,1.9,9.7,30,m-MTDATA,1.9,5.1,10,Ir(ppz)3,1.6,4.9,10,50,3.14,o-DBFDPO,2.9,6,3.14,20,FIrpic,3,5.7,2.7,10,2.5,30,,,,,Bphen,3,6.4,30,LiF,3.5,1,Al,100,3.2,4.02,8.6,8.44
A new synthesis strategy for acridine derivatives to constructing novel host for phosphorescent organic light-emitting diodes,ITO,HAT-CN,5.7,9.5,10,TAPC,2,5.5,50,,,,,,,,,50,2.87,DPhAcPy,2.39,5.54,2.68,20,FIrpic,3,5.7,2.7,15,2.75,40,,,,,TmPyPB,2.73,6.68,40,Liq,2.8,2,Al,120,4.1,8.8,9.3,14.60
Acridine modified dibenzothiophene derivatives as high triplet energy host materials for blue phosphorescent organic light-emitting diodes,ITO,PEDOT:PSS,3.3,5.2,60,TAPC,2,5.5,30,,,,,,,,,30,2.87,DBTDAc,2.27,5.85,2.86,25,Ir(dbi)3,2.21,4.95,2.7,10,3.36,35,TSPO1,2.5,6.8,5,TPBi,2.8,6.2,30,LiF,3.5,1,Al,200,3,38.4,25.5,50.42
Acridine modified dibenzothiophene derivatives as high triplet energy host materials for blue phosphorescent organic light-emitting diodes,ITO,PEDOT:PSS,3.3,5.2,60,TAPC,2,5.5,30,,,,,,,,,30,2.87,DBTAcCz,2.28,5.8,2.91,25,Ir(dbi)3,2.21,4.95,2.7,10,3.36,35,TSPO1,2.5,6.8,5,TPBi,2.8,6.2,30,LiF,3.5,1,Al,200,3.8,35,27.2,49.94
An Exciplex Forming Host for Highly Effi cient Blue Organic Light Emitting Diodes with Low Driving Voltage,ITO,ReO3:mCP,2.4,6.1,45,mCP,2.4,5.9,15,,,,,,,,,15,2.9,mCP:PO-T2T,2.4,7.5,2.64,30,FIrpic,3,5.7,2.7,10,2.99,70,PO-T2T,3.47,7.5,20,PO-T2T:Rb2CO3,3.47,7.5,50,,4.28,0,Al,100,2.4,54.1,29.4,64.38
An Exciplex Host for Deep-Blue Phosphorescent Organic Light-Emitting Diodes,ITO,ReO3:mCP,2.4,6.1,30,mCP,2.4,5.9,20,,,,,,,,,20,3,BM-A10,3.2,7,2.8,20,FCNIr,3,5.8,2.9,12,2.8,20,,,,,BM-A10,3.2,7,20,,4.3,0,Al,200,3.6,4,6,8.86
An Exciplex Host for Deep-Blue Phosphorescent Organic Light-Emitting Diodes,ITO,ReO3:mCP,2.4,6.1,30,mCP,2.4,5.9,20,,,,,,,,,20,3,mCP,2.4,5.9,2.9,20,FCNIr,3,5.8,2.9,12,2.8,20,,,,,BM-A10,3.2,7,20,,4.3,0,Al,200,3.3,5,6,9.51
An Exciplex Host for Deep-Blue Phosphorescent Organic Light-Emitting Diodes,ITO,ReO3:mCP,2.4,6.1,30,mCP,2.4,5.9,20,,,,,,,,,20,3,mcp:BM-A10,2.4,7,3,10,FCNIr,3,5.8,2.9,12,2.8,20,,,,,BM-A10,3.2,7,20,,4.3,0,Al,200,2.9,21,17,30.76
An Exciplex Host for Deep-Blue Phosphorescent Organic Light-Emitting Diodes,ITO,ReO3:mCP,2.4,6.1,30,mCP,2.4,5.9,20,,,,,,,,,20,3,mcp:BM-A11,2.4,7,3,20,FCNIr,3,5.8,2.9,12,2.8,20,,,,,BM-A10,3.2,7,20,,4.3,0,Al,200,2.9,26,21,37.97
An Exciplex Host for Deep-Blue Phosphorescent Organic Light-Emitting Diodes,ITO,ReO3:mCP,2.4,6.1,30,mCP,2.4,5.9,20,,,,,,,,,20,3,mcp:BM-A12,2.4,7,3,30,FCNIr,3,5.8,2.9,12,2.8,20,,,,,BM-A10,3.2,7,20,,4.3,0,Al,200,2.9,24,21,36.68
An Exciplex Host for Deep-Blue Phosphorescent Organic Light-Emitting Diodes,ITO,ReO3:mCP,2.4,6.1,30,mCP,2.4,5.9,20,,,,,,,,,20,3,mcp:BM-A13,2.4,7,3,40,FCNIr,3,5.8,2.9,12,2.8,20,,,,,BM-A10,3.2,7,20,,4.3,0,Al,200,2.9,23,19,34.04
Bipolar host materials with carbazole and dipyridylamine groups showing high triplet energy for blue phosphorescent organic light emitting diodes,ITO,PEDOT:PSS,3.3,5.2,55,TAPC,2,5.5,20,mCP,2.4,5.9,10,,,,,30,3,mCPPy,2.3,5.86,2.94,25,FIrpic,3,5.7,2.7,10,2.75,35,,,,,TmPyPB,2.73,6.68,35,LiF,3.5,1,Al,100,4,12.3,13.4,26.00
Bipolar host materials with carbazole and dipyridylamine groups showing high triplet energy for blue phosphorescent organic light emitting diodes,ITO,PEDOT:PSS,3.3,5.2,55,TAPC,2,5.5,20,mCP,2.4,5.9,10,,,,,30,3,DCPPy,2.3,5.86,2.94,25,FIrpic,3,5.7,2.7,10,2.75,35,,,,,TmPyPB,2.73,6.68,35,LiF,3.5,1,Al,100,4.1,19.4,21.6,43.20
Bipolar host materials with carbazole and dipyridylamine groups showing high triplet energy for blue phosphorescent organic light emitting diodes,ITO,PEDOT:PSS,3.3,5.2,55,TAPC,2,5.5,20,mCP,2.4,5.9,10,,,,,30,3,CPDPy,2.24,5.78,2.95,25,FIrpic,3,5.7,2.7,10,2.75,35,,,,,TmPyPB,2.73,6.68,35,LiF,3.5,1,Al,100,4,16.4,17.2,33.90
Bipolar host materials with carbazole and dipyridylamine groups showing high triplet energy for blue phosphorescent organic light emitting diodes,ITO,PEDOT:PSS,3.3,5.2,55,TAPC,2,5.5,20,mCP,2.4,5.9,10,,,,,30,3,mCP,2.4,5.9,3,25,FIrpic,3,5.7,2.7,10,2.75,35,,,,,TmPyPB,2.73,6.68,35,LiF,3.5,1,Al,100,4,16.1,17,33.60
"Blue phosphorescent organic light-emitting devices based on carbazole/thioxanthene-S,S-dioxide with a high glass transition temperature",ITO,HAT-CN,5.7,9.5,5,TAPC,2,5.5,40,,,,,,,,,40,2.87,EBCz-ThX,2.63,5.95,2.94,25,FIrpic,3,5.7,2.7,10,2.75,30,,,,,TmPyPB,2.73,6.68,30,LiF,3.5,1,Al,100,3,6.4,7.8,15.30
"Blue phosphorescent organic light-emitting devices based on carbazole/thioxanthene-S,S-dioxide with a high glass transition temperature",ITO,HAT-CN,5.7,9.5,5,TAPC,2,5.5,40,,,,,,,,,40,2.87,EBCz-ThX,2.63,5.95,2.94,25,FIrpic,3,5.7,2.7,15,2.75,30,,,,,TmPyPB,2.73,6.68,30,LiF,3.5,1,Al,100,3,8.2,10.2,21.00
"Blue phosphorescent organic light-emitting devices based on carbazole/thioxanthene-S,S-dioxide with a high glass transition temperature",ITO,HAT-CN,5.7,9.5,5,TAPC,2,5.5,40,,,,,,,,,40,2.87,EBCz-ThX,2.63,5.95,2.94,25,FIrpic,3,5.7,2.7,20,2.75,30,,,,,TmPyPB,2.73,6.68,30,LiF,3.5,1,Al,100,3.5,3.6,5.2,11.10
