no,homo_HIL,thickness_HIL,lumo_HTL1,homo_HTL1,thickness_HTL1,lumo_HTL2,homo_HTL2,thickness_HTL2,lumo_HTL3,homo_HTL3,thickness_HTL3,total_HTL_thickness,triplet_HTL,lumo_EML,homo_EML,triplet_HOST,thickness_EML,lumo_dopant,homo_dopant,triplet_dopant,dopant_percentage,triplet_ETL,total_ETL_thickness,lumo_ETL1,homo_ETL1,thickness_ETL1,lumo_ETL2,homo_ETL2,thickness_ETL2,cathode_workfunction,thickness_cathode1,cd/A
1,5.2,25,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,1.83,5.27,2.88,35,3,5.7,2.7,11,2.6,35,2.8,6.2,0,2.8,6.2,35,2.8,10,5
2,5.2,25,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,2,5.5,2.87,35,3,5.7,2.7,15,2.6,35,2.8,6.2,0,2.8,6.2,35,2.8,10,4
3,5.2,25,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,1.83,5.27,2.88,35,3,5.7,2.7,15,2.6,35,2.8,6.2,0,2.8,6.2,35,2.8,10,9
4,5.2,25,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,1.83,5.5,2.88,35,3,5.7,2.7,15,2.6,35,2.8,6.2,0,2.8,6.2,35,2.8,10,12
5,5.2,25,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,1.83,5.27,2.88,35,3,5.7,2.7,20,2.6,35,2.8,6.2,0,2.8,6.2,35,2.8,10,8
6,9.5,10,2,5.5,45,2,5.5,0,2,5.5,0,45,2.87,1.74,5.13,2.84,20,3,5.7,2.7,15,2.75,40,2.73,6.68,0,2.73,6.68,40,2.8,2,20.9
7,9.5,10,2,5.5,45,2,5.5,0,2,5.5,0,45,2.87,1.79,5.1,2.86,20,3,5.7,2.7,15,2.75,40,2.73,6.68,0,2.73,6.68,40,2.8,2,33.2
8,4.7,0,2.5,5.2,30,2.4,5.9,20,2.4,5.9,0,50,3,2.19,5.76,3.01,30,3,5.7,2.7,8,2.76,40,2.26,5.85,0,2.26,5.85,40,3.5,1,32.25
9,9.7,2,1.9,9.7,30,1.9,5.1,10,1.6,4.9,10,50,3.14,2.9,6,3.14,10,3,5.7,2.7,10,2.5,40,3,6.4,0,3,6.4,40,3.5,1,7.37
10,9.7,2,1.9,9.7,30,1.9,5.1,10,1.6,4.9,10,50,3.14,2.9,6,3.14,20,3,5.7,2.7,10,2.5,30,3,6.4,0,3,6.4,30,3.5,1,8.44
11,9.5,10,2,5.5,50,2,5.5,0,2,5.5,0,50,2.87,2.39,5.54,2.68,20,3,5.7,2.7,15,2.75,40,2.73,6.68,0,2.73,6.68,40,2.8,2,14.6
12,5.2,60,2,5.5,30,2,5.5,0,2,5.5,0,30,2.87,2.27,5.85,2.86,25,2.21,4.95,2.7,10,3.36,35,2.5,6.8,5,2.8,6.2,30,3.5,1,50.42
13,5.2,60,2,5.5,30,2,5.5,0,2,5.5,0,30,2.87,2.28,5.8,2.91,25,2.21,4.95,2.7,10,3.36,35,2.5,6.8,5,2.8,6.2,30,3.5,1,49.94
14,6.1,45,2.4,5.9,15,2.4,5.9,0,2.4,5.9,0,15,2.9,2.4,7.5,2.64,30,3,5.7,2.7,10,2.99,70,3.47,7.5,20,3.47,7.5,50,4.28,0,64.38
15,6.1,30,2.4,5.9,20,2.4,5.9,0,2.4,5.9,0,20,3,3.2,7,2.8,20,3,5.8,2.9,12,2.8,20,3.2,7,0,3.2,7,20,4.3,0,8.86
16,6.1,30,2.4,5.9,20,2.4,5.9,0,2.4,5.9,0,20,3,2.4,5.9,2.9,20,3,5.8,2.9,12,2.8,20,3.2,7,0,3.2,7,20,4.3,0,9.51
17,6.1,30,2.4,5.9,20,2.4,5.9,0,2.4,5.9,0,20,3,2.4,7,3,10,3,5.8,2.9,12,2.8,20,3.2,7,0,3.2,7,20,4.3,0,30.76
18,6.1,30,2.4,5.9,20,2.4,5.9,0,2.4,5.9,0,20,3,2.4,7,3,20,3,5.8,2.9,12,2.8,20,3.2,7,0,3.2,7,20,4.3,0,37.97
19,6.1,30,2.4,5.9,20,2.4,5.9,0,2.4,5.9,0,20,3,2.4,7,3,30,3,5.8,2.9,12,2.8,20,3.2,7,0,3.2,7,20,4.3,0,36.68
20,6.1,30,2.4,5.9,20,2.4,5.9,0,2.4,5.9,0,20,3,2.4,7,3,40,3,5.8,2.9,12,2.8,20,3.2,7,0,3.2,7,20,4.3,0,34.04
21,5.2,55,2,5.5,20,2.4,5.9,10,2.4,5.9,0,30,3,2.3,5.86,2.94,25,3,5.7,2.7,10,2.75,35,2.73,6.68,0,2.73,6.68,35,3.5,1,26
22,5.2,55,2,5.5,20,2.4,5.9,10,2.4,5.9,0,30,3,2.3,5.86,2.94,25,3,5.7,2.7,10,2.75,35,2.73,6.68,0,2.73,6.68,35,3.5,1,43.2
23,5.2,55,2,5.5,20,2.4,5.9,10,2.4,5.9,0,30,3,2.24,5.78,2.95,25,3,5.7,2.7,10,2.75,35,2.73,6.68,0,2.73,6.68,35,3.5,1,33.9
24,5.2,55,2,5.5,20,2.4,5.9,10,2.4,5.9,0,30,3,2.4,5.9,3,25,3,5.7,2.7,10,2.75,35,2.73,6.68,0,2.73,6.68,35,3.5,1,33.6
25,9.5,5,2,5.5,40,2,5.5,0,2,5.5,0,40,2.87,2.63,5.95,2.94,25,3,5.7,2.7,10,2.75,30,2.73,6.68,0,2.73,6.68,30,3.5,1,15.3
26,9.5,5,2,5.5,40,2,5.5,0,2,5.5,0,40,2.87,2.63,5.95,2.94,25,3,5.7,2.7,15,2.75,30,2.73,6.68,0,2.73,6.68,30,3.5,1,21
27,9.5,5,2,5.5,40,2,5.5,0,2,5.5,0,40,2.87,2.63,5.95,2.94,25,3,5.7,2.7,20,2.75,30,2.73,6.68,0,2.73,6.68,30,3.5,1,11.1
28,9.5,5,2,5.5,40,2,5.5,0,2,5.5,0,40,2.87,2.4,5.9,3,25,3,5.7,2.7,8,2.75,30,2.73,6.68,0,2.73,6.68,30,3.5,1,9.5
29,5.3,3,2.4,5.7,25,2.4,5.7,0,2.4,5.7,0,25,2.94,2.4,5.9,3,15,2.6,5.5,2.74,4.5,2.6,35,2.8,6.2,0,2.8,6.2,35,3.5,1,4.5
